aspect term	category	polarity	text
;old school teaching	 teaching	 negative	Cook has been at it a long time and is the definition of old school teaching.
;null;intro class	 teacher teaching	 negative negative	Prof. Hora is definitely a hard professor, and made her intro class too difficult.
;null	 teacher	 positive	William is a compassionate, fun, charismatic man who is a joy to learn from and talk to.
;help	 approachable	 positive	He's very clear about what he wants and is more than willing to help you if you are having trouble with anything.
;online notes;lecture	 teaching teaching	 positive positive	The online notes he provides are so detailed you could pass the class just by studying them, but I attended every lecture because I enjoyed them so much.
;book;practice problems	 exam exam	 neutral neutral	Use the book and do the practice problems.
;problems	 approachable	 positive	Great guy, very friendly, approachable, and willing to help you out with whatever problems you are facing.
;null;null	 exam teacher	 neutral positive	He didn't give us any extra credit options, but i liked him anyway
;null;exams	 teacher exam	 positive negative	Was the most fun I've had in a Bios class at UIC, but his exams kicked my @$$
;tests	 exam	 neutral	So his tests might come across as a tad difficult.
;null	 grading	 positive	It's impossible to not get an A in this class.
;teacher	 teacher	 positive	Take this teacher!
;stuff;test;lectures	 knowledge exam teaching	 positive negative negative	knows his stuff.test are hard and lectures boring but he at times makes it interesting.
;null	 grading	 neutral	if not, you'll be grateful with a c.
;class	 course	 negative	This was a hard class and I'm an honors kid who has an interest in the subject.
;teacher	 teacher	 negative	worst teacher ever!
;null	 teacher	 positive	Dr. Sacher is amazing!
;null	 teacher	 negative	No accent though :)
;quizzes;open note	 exam exam	 neutral neutral	There are quizzes every Friday, but sometimes they are open note/mouth.
;jokes	 teaching	 negative	I will agree with the previous posts, I had him 4 years ago and he does crack a lot of jokes which often got me confused.
;questions;reviews;quizzes	 answering approachable approachable	 positive positive positive	Allows you to ask questions and holds reviews every Thursday night for Friday quizzes.
;directions	 teaching	 negative	Her directions are not specific.
;concept	 teaching	 positive	He's very conceptual and teaches you the concept, expecting you to be able to apply them.
;class	 course	 positive	Overall, acing this class should not be an issue if taken seriously
;readings;tests;material	 exam exam exam	 neutral neutral neutral	Make sure you do the readings, as his tests cover the reading material.
;personality	 teacher	 positive	Not so  much looks wise, he's not bad in that respect, but his personality is sexy.
;teacher	 teacher	 positive	best teacher ever thanks !!
;lectures;teacher	 attendance teacher	 positive positive	If you dont come to lectures then you're screwed...Still, best teacher I've had in all my years of college.
;lectures	 teaching	 negative	He's super nice but very old and thus rambles during lectures and is never very clear with concepts.
;null	 teacher	 positive	Dr Molumby, if you are reading this, I love you!!
;tests	 exam	 negative	Tests are impossible and ask ridiculous trivial nonsensical questions.
;class;work;reading;question	 course course course answering	 negative negative negative positive	Randy is not rude/ not unhelpful whatsoever, his class is extremely difficult and requires a lot of outside work and reading, but he is always prepared to answer your question.
;exam	 exam	 negative	And he won't tell you what is on the exam.
;attention;lectures	 teaching teaching	 positive positive	Unlike many professors, he managed to hold my attention during lectures.
;professor	 teacher	 positive	He's a really good professor and you can tell he's passionate about what he teaches.
;grade	 grading	 neutral	Not a class for someone who isn't willing to work for a good grade, but not impossible to get an A.
;lecture;material	 teaching teaching	 negative negative	He is hard to follow during lecture because not only does he refuse to turn up the microphone (if you're not sitting WAY up front, you WON'T hear him), he goes very fast through the important slides and always goes off on tangents that do not help with the understanding of the material.
;null	 approachable	 positive	She was helpful and not too hard.
;professor	 teacher	 positive	She is a great professor and is really there for her students I would recommend anyone to take her!
;professor	 teacher	 negative	Awesome guy, but not a great professor.
;null	 teaching	 negative	He gets off on tricking his students...WE GET IT MOLUMBY, YOU'RE THE SMARTEST GUY IN THE ROOM, SO ENOUGH WITH THE GAMES AND JUST TEACH US!
;tests;papers;labs	 exam exam course	 negative negative positive	His tests are hard and assigns 2 long papers Pros: Labs are very easy.
;professor	 teacher	 positive	Love this professor!
;null	 teacher	 positive	I had a good experience with Mr. Everett.
;scientific skills	 teaching	 positive	I learned a lot of scientific skills and loved this class.
;nu;;	 teacher	 positive	AMAZING!
;null	 teacher	 positive	Randy really is awesome.
;null	 exam	 negative	you really need to study hard.
;exams;labs;problem sets	 exam course exam	 negative positive positive	Exams are hard, Labs are easy and so are the problem sets.
;professor	 teacher	 positive	The most inspiring professor I've ever had.
;labs	 exam	 positive	Molumby is a funny guy, he can be an ass sometimes when it comes to labs, but overall hes good.
;professor	 teacher	 negative	He is a nice man, just not a good professor.
;null	 teacher	 negative	Unclear, inconsiderate, unprepared, and lazy
;class;teacher	 teaching teacher	 positive positive	Interesting class, good teacher.
;null	 teacher	 negative	Do not recommend.
;time	 class	 negative	If your not 100% comfortable with the day and time with this teacher then don't take this course.
;powerpoints slides;textbook	 relevant relevant	 positive negative	Powerpoints slides are helpful but you do have to read the textbook on your own.
;null;exams;null	 teacher exam teacher	 positive negative neutral	He is a very very nice guy, cares for his students but you will have to make all the effort for any help you want, and if you want an A be ready to do a lot of work and learning yourself because his lectures will not get you an A on the exams, which tend to be very tricky.
;professor	 teacher	 negative	Randy is a really nice guy out of lecture, however, he is not the best professor.
;person	 teacher	 positive	He is the nicest person.
;interpretation;writings	 grading grading	 negative negative	Even more so if it strays from his interpretation of the writings.
;null	 teacher	 negative	just like everyone else on here... i advise you to stay away.
